ID,Record,Subject,Test,Session,Rep,TestVer,Battery,BatVer,AresVer,Seed,Date,Start_Time,Dur,Stim,Cor,Err,Imp,Lap,ITI,mRTC,mRTE,mRTA,sdRTC,sdRTE,sdRTA,medRTC,medRTE,medRTA,TPut,Stim1,Cor1,Err1,Imp1,Lap1,ITI1,mRTC1,mRTE1,mRTA1,sdRTC1,sdRTE1,sdRTA1,medRTC1,medRTE1,medRTA1,TPut1,Stim2,Cor2,Err2,Imp2,Lap2,ITI2,mRTC2,mRTE2,mRTA2,sdRTC2,sdRTE2,sdRTA2,medRTC2,medRTE2,medRTA2,TPut2,spare1,spare2,spare3,spare4,spare5,sparestring
1,130,C1G0001,Matching To Sample,7,0,1.23,ARES_JSC1,1,1.27,7,9/13/2004,2:09:43 AM,139,10,6,4,0,0,11,1746,1770,1756,571,272,454,1760,1755,1755,20,5,5,0,0,0,7,1656,NA,1656,589,NA,589,1285,NA,NA,36,5,1,4,0,0,4,2200,1770,1856,0,272,304,2200,1755,1755,6,0,0,0,0,0,NA
2,136,C1G0001,Matching To Sample,8,0,1.23,ARES_JSC1,1,1.27,8,9/13/2004,2:13:07 AM,148,10,8,2,0,0,11,2258,3225,2452,570,1916,909,2225,3225,3225,19,5,5,0,0,0,7,2600,NA,2600,410,NA,410,2615,NA,NA,23,5,3,2,0,0,4,1690,3225,2304,157,1916,1279,1620,3225,3225,15,0,0,0,0,0,NA
3,151,C1G0001,Matching To Sample,9,0,1.23,ARES_JSC1,1,1.27,9,9/13/2004,2:18:44 AM,143,10,8,2,0,0,11,1537,1825,1595,466,91,429,1555,1825,1825,30,5,4,1,0,0,7,1402,1760,1474,346,0,340,1405,1760,1760,32,5,4,1,0,0,4,1672,1890,1716,581,0,512,1655,1890,1890,27,0,0,0,0,0,NA
4,160,C1G0001,Matching To Sample,10,0,1.23,ARES_JSC1,1,1.27,10,9/14/2004,2:06:51 AM,148,10,9,1,0,0,11,2113,3680,2270,513,0,692,1925,3680,3680,23,5,4,1,0,0,7,2237,3680,2526,495,0,774,2215,3680,3680,19,5,5,0,0,0,4,2014,NA,2014,562,NA,562,1895,NA,NA,29,0,0,0,0,0,NA
5,166,C1G0001,Matching To Sample,11,0,1.23,ARES_JSC1,1,1.27,11,9/14/2004,2:13:03 AM,140,10,10,0,0,0,11,1768,NA,1768,866,NA,866,1465,NA,NA,33,5,5,0,0,0,7,2410,NA,2410,788,NA,788,2105,NA,NA,24,5,5,0,0,0,4,1126,NA,1126,189,NA,189,1100,NA,NA,53,0,0,0,0,0,NA
6,178,C1G0001,Matching To Sample,12,0,1.23,ARES_JSC1,1,1.27,12,9/14/2004,2:18:43 AM,138,10,8,2,0,0,11,1446,2020,1561,257,254,342,1380,2020,2020,30,5,4,1,0,0,7,1475,2200,1620,264,0,396,1380,2200,2200,29,5,4,1,0,0,4,1417,1840,1502,287,0,312,1445,1840,1840,31,0,0,0,0,0,NA
7,181,C1G0001,Matching To Sample,13,0,1.23,ARES_JSC1,1,1.27,13,9/15/2004,2:06:32 AM,144,10,9,1,0,0,11,1277,2270,1377,391,0,484,1100,2270,2270,39,5,5,0,0,0,7,1452,NA,1452,462,NA,462,1215,NA,NA,41,5,4,1,0,0,4,1060,2270,1302,100,0,548,1055,2270,2270,36,0,0,0,0,0,NA
8,193,C1G0001,Matching To Sample,14,0,1.23,ARES_JSC1,1,1.27,14,9/15/2004,2:13:57 AM,148,10,9,1,0,0,11,1645,2330,1714,542,0,555,1545,2330,2330,31,5,4,1,0,0,7,1542,2330,1700,253,0,415,1545,2330,2330,28,5,5,0,0,0,4,1728,NA,1728,721,NA,721,1495,NA,NA,34,0,0,0,0,0,NA
9,199,C1G0001,Matching To Sample,15,0,1.23,ARES_JSC1,1,1.27,15,9/15/2004,2:18:50 AM,135,10,10,0,0,0,11,1360,NA,1360,353,NA,353,1315,NA,NA,44,5,5,0,0,0,7,1466,NA,1466,465,NA,465,1315,NA,NA,40,5,5,0,0,0,4,1254,NA,1254,190,NA,190,1235,NA,NA,47,0,0,0,0,0,NA
10,208,C1G0001,Matching To Sample,16,0,1.23,ARES_JSC1,1,1.27,16,9/16/2004,2:06:29 AM,141,10,9,1,0,0,11,1718,3130,1860,354,0,557,1635,3130,3130,29,5,4,1,0,0,7,1755,3130,2030,513,0,759,1830,3130,3130,23,5,5,0,0,0,4,1690,NA,1690,224,NA,224,1620,NA,NA,35,0,0,0,0,0,NA
