ID,Subject,Test,Matching To Sample,Running Memory,Simple Reaction Time
1,C1G0001,1,2126,501,270
2,C1G0001,2,1650,492,258
3,C1G0001,3,1640,446,222
4,C1G0001,4,2605,480,241
5,C1G0001,5,1275,474,244
6,C1G0001,6,2195,482,214
7,C1G0001,7,1746,471,233
8,C1G0001,8,2258,460,219
9,C1G0001,9,1537,430,241
10,C1G0001,10,2113,465,223
11,C1G0001,11,1768,435,193
12,C1G0001,12,1446,444,215
13,C1G0001,13,1277,480,249
14,C1G0001,14,1645,476,240
15,C1G0001,15,1360,469,221
16,C1G0001,16,1718,492,243
17,C1G0001,17,1170,451,233
18,C1G0001,18,1553,414,225
19,C1G0001,19,1561,496,245
20,C1G0001,20,1256,427,222
21,C1G0001,21,1416,461,224
22,C1G0001,22,2037,447,257
23,C1G0001,23,1561,440,229
24,C1G0001,24,1542,441,212
25,C1G0001,25,1582,460,237
26,C1G0001,26,1457,442,205
27,C1G0001,27,1533,428,211
28,C1G0001,28,1562,430,236
29,C1G0001,29,1663,500,233
30,C1G0001,30,1478,435,203
31,C1G0001,31,1497,412,257
32,C1G0001,32,2437,484,227
33,C1G0001,33,1163,421,210
34,C1G0001,34,1197,442,217
35,C1G0001,35,2226,596,218
36,C1G0001,36,1703,446,218
37,C1G0001,37,1563,407,215
38,C1G0001,38,1864,465,238
39,C1G0001,39,1391,413,203
40,C1G0001,40,1911,443,199
41,C1G0001,41,1587,450,228
42,C1G0001,42,1695,428,208
43,C1G0001,43,1677,450,200
44,C1G0001,44,1428,399,233
45,C1G0001,45,1826,430,225
46,C1G0001,46,1170,433,212
47,C1G0001,47,1566,467,239
48,C1G0001,48,1767,429,210
49,C1G0001,49,1478,436,222
50,C1G0001,50,1680,457,210
51,C1G0001,51,1686,435,213
52,C1G0001,52,1537,402,194
53,C1G0001,53,1534,461,228
54,C1G0001,54,1491,448,211
55,C1G0001,55,1371,444,230
56,C1G0001,56,1535,399,207
57,C1G0001,57,1505,414,208
58,C1G0001,58,1847,414,205
59,C1G0001,59,1487,406,201
60,C1G0001,60,1592,412,187
61,C1G0001,61,1317,411,221
62,C1G0001,62,1771,417,210
63,C1G0001,63,1496,412,205
64,C1G0001,64,2329,416,267
65,C1G0001,65,1835,408,239
66,C1G0001,66,2002,385,240
67,C1G0001,67,1804,437,217
68,C1G0001,68,1571,408,237
69,C1G0001,69,1282,416,215
