ID,Subject,Test,Matching To Sample,Running Memory,Simple Reaction Time
1,C1G0003,1,2339,505,255
2,C1G0003,2,1830,492,227
3,C1G0003,3,1804,476,238
4,C1G0003,4,1442,447,268
5,C1G0003,5,1598,460,222
6,C1G0003,6,1848,485,240
7,C1G0003,7,1604,447,232
8,C1G0003,8,2050,468,253
9,C1G0003,9,2585,438,230
10,C1G0003,10,2260,478,260
11,C1G0003,11,2307,427,236
12,C1G0003,12,1905,435,254
13,C1G0003,13,2399,467,248
14,C1G0003,14,1964,430,231
15,C1G0003,15,1984,418,237
16,C1G0003,16,1984,452,249
17,C1G0003,17,1650,460,215
18,C1G0003,18,1397,419,220
19,C1G0003,19,2382,464,237
20,C1G0003,20,1786,392,217
21,C1G0003,21,1696,411,221
22,C1G0003,22,2207,431,273
23,C1G0003,23,1821,424,192
24,C1G0003,24,1907,406,197
25,C1G0003,25,2331,412,203
26,C1G0003,26,1814,394,214
27,C1G0003,27,2297,444,228
28,C1G0003,28,2186,398,170
29,C1G0003,29,4755,527,224
30,C1G0003,30,1654,407,162
31,C1G0003,31,2094,476,201
32,C1G0003,32,3645,504,210
33,C1G0003,33,1959,402,190
34,C1G0003,34,1428,401,216
35,C1G0003,35,2204,449,216
36,C1G0003,36,1906,373,201
37,C1G0003,37,1714,395,397
38,C1G0003,38,1261,405,173
39,C1G0003,39,5776,415,211
40,C1G0003,40,1567,455,208
41,C1G0003,41,2104,546,217
42,C1G0003,42,1282,429,208
43,C1G0003,43,1973,533,256
44,C1G0003,44,1692,454,207
45,C1G0003,45,1708,481,410
46,C1G0003,46,1815,469,214
47,C1G0003,47,2893,436,241
48,C1G0003,48,3060,657,572
49,C1G0003,49,4847,465,209
50,C1G0003,50,1548,423,195
51,C1G0003,51,2536,467,221
52,C1G0003,52,2358,444,208
53,C1G0003,53,2364,540,223
54,C1G0003,54,1388,353,186
55,C1G0003,55,1165,405,191
56,C1G0003,56,1776,384,187
57,C1G0003,57,1243,386,189
58,C1G0003,58,1529,393,172
59,C1G0003,59,1068,405,196
60,C1G0003,60,1503,418,201
61,C1G0003,61,1335,460,234
62,C1G0003,62,2537,594,427
63,C1G0003,63,1749,454,192
64,C1G0003,64,1848,405,206
65,C1G0003,65,1304,380,181
66,C1G0003,66,1337,392,185
67,C1G0003,67,1251,437,159
68,C1G0003,68,7281,416,646
69,C1G0003,69,1541,463,221
70,C1G0003,70,1291,466,165
71,C1G0003,71,2701,409,177
72,C1G0003,72,1888,364,186
73,C1G0003,73,3025,407,717
74,C1G0003,74,1906,498,300
75,C1G0003,75,3288,450,323
76,C1G0003,76,1772,473,213
77,C1G0003,77,1677,444,324
78,C1G0003,78,2344,471,299
79,C1G0003,79,1054,413,199
80,C1G0003,80,1578,405,837
81,C1G0003,81,1353,422,190
82,C1G0003,82,1409,468,246
83,C1G0003,83,1121,435,154
84,C1G0003,84,4031,358,453
85,C1G0003,85,1517,419,186
86,C1G0003,86,1405,433,193
87,C1G0003,87,1440,425,197
88,C1G0003,88,1495,395,235
89,C1G0003,89,1667,466,204
90,C1G0003,90,2852,456,173
91,C1G0003,91,1850,414,196
92,C1G0003,92,3287,426,848
93,C1G0003,93,2191,498,186
94,C1G0003,94,1714,407,192
95,C1G0003,95,1541,417,379
96,C1G0003,96,4501,393,211
97,C1G0003,97,6532,453,189
98,C1G0003,98,2764,420,184
99,C1G0003,99,3595,450,195
100,C1G0003,100,1536,435,208
101,C1G0003,101,1960,409,194
102,C1G0003,102,4657,528,211
103,C1G0003,103,1450,456,159
104,C1G0003,104,6745,492,761
105,C1G0003,105,6051,447,439
106,C1G0003,106,4155,480,170
107,C1G0003,107,1467,467,180
108,C1G0003,108,8341,504,555
109,C1G0003,109,2004,438,189
110,C1G0003,110,3850,397,153
111,C1G0003,111,5090,519,209
112,C1G0003,112,3532,411,198
113,C1G0003,113,2284,461,179
114,C1G0003,114,3766,462,203
115,C1G0003,115,2694,511,191
116,C1G0003,116,5240,720,1533
117,C1G0003,117,1678,410,178
118,C1G0003,118,3607,476,264
119,C1G0003,119,3272,474,210
120,C1G0003,120,13752,393,549
121,C1G0003,121,1626,400,201
122,C1G0003,122,1971,527,164
123,C1G0003,123,16368,456,362
124,C1G0003,124,2303,382,222
125,C1G0003,125,2286,500,194
126,C1G0003,126,1972,383,166
127,C1G0003,127,2427,405,211
128,C1G0003,128,4057,427,202
129,C1G0003,129,1802,387,231
130,C1G0003,130,4512,346,676
131,C1G0003,131,5436,561,189
132,C1G0003,132,1634,426,379
133,C1G0003,133,2909,459,175
134,C1G0003,134,2082,424,152
135,C1G0003,135,3518,411,148
136,C1G0003,136,2066,410,211
137,C1G0003,137,1862,373,210
138,C1G0003,138,6036,486,205
139,C1G0003,139,19610,432,199
140,C1G0003,140,5903,396,176
141,C1G0003,141,9486,448,209
142,C1G0003,142,2641,429,199
143,C1G0003,143,2687,418,281
144,C1G0003,144,1014,385,138
145,C1G0003,145,4055,357,160
146,C1G0003,146,1793,427,328
147,C1G0003,147,1808,385,173
