ID,Record,Subject,Test,Session,Rep,TestVer,Battery,BatVer,AresVer,Seed,Start_Date,Start_Time,Dur,Stim,Cor,Err,Imp,Lap,ITI,mRTC,mRTE,mRTA,sdRTC,sdRTE,sdRTA,medRTC,medRTE,medRTA,TPut,Stim1,Cor1,Err1,Imp1,Lap1,ITI1,mRTC1,mRTE1,mRTA1,sdRTC1,sdRTE1,sdRTA1,medRTC1,medRTE1,medRTA1,TPut1,Stim2,Cor2,Err2,Imp2,Lap2,ITI2,mRTC2,mRTE2,mRTA2,sdRTC2,sdRTE2,sdRTA2,medRTC2,medRTE2,medRTA2,TPut2,spare1,spare2,spare3,spare4,spare5,sparestring
1,133,C1G0002,Matching To Sample,7,0,1.23,ARES_JSC1,1,1.27,7,2020-09-13,09:50,139,10,10,0,0,0,11,1702,NA,1702,760,NA,760,1520,NA,NA,35,5,5,0,0,0,7,1776,NA,1776,997,NA,997,1355,NA,NA,33,5,5,0,0,0,4,1628,NA,1628,542,NA,542,1440,NA,NA,36,0,0,0,0,0,NA
2,139,C1G0002,Matching To Sample,8,0,1.23,ARES_JSC1,1,1.27,8,2020-09-13,13:34,137,10,9,1,0,0,11,1607,930,1540,552,0,563,1405,930,930,35,5,4,1,0,0,7,1362,930,1276,147,0,231,1380,930,930,37,5,5,0,0,0,4,1804,NA,1804,697,NA,697,1565,NA,NA,33,0,0,0,0,0,NA
3,145,C1G0002,Matching To Sample,9,0,1.23,ARES_JSC1,1,1.27,9,2020-09-13,18:30,141,10,10,0,0,0,11,1097,NA,1097,332,NA,332,975,NA,NA,54,5,5,0,0,0,7,1030,NA,1030,198,NA,198,950,NA,NA,58,5,5,0,0,0,4,1164,NA,1164,445,NA,445,925,NA,NA,51,0,0,0,0,0,NA
4,154,C1G0002,Matching To Sample,10,0,1.23,ARES_JSC1,1,1.27,10,2020-09-14,06:33,152,10,8,2,0,0,11,2533,2765,2580,972,883,912,2385,2765,2765,18,5,3,2,0,0,7,2650,2765,2696,1719,883,1295,1675,2765,2765,13,5,5,0,0,0,4,2464,NA,2464,401,NA,401,2385,NA,NA,24,0,0,0,0,0,NA
5,169,C1G0002,Matching To Sample,11,0,1.23,ARES_JSC1,1,1.27,11,2020-09-14,13:13,135,10,9,1,0,0,11,1223,1660,1267,378,0,382,1100,1660,1660,42,5,5,0,0,0,7,1406,NA,1406,430,NA,430,1210,NA,NA,42,5,4,1,0,0,4,995,1660,1128,99,0,309,1000,1660,1660,42,0,0,0,0,0,NA
6,175,C1G0002,Matching To Sample,12,0,1.23,ARES_JSC1,1,1.27,12,2020-09-14,18:21,136,10,10,0,0,0,11,1336,NA,1336,665,NA,665,1000,NA,NA,44,5,5,0,0,0,7,1628,NA,1628,859,NA,859,1060,NA,NA,36,5,5,0,0,0,4,1044,NA,1044,212,NA,212,965,NA,NA,57,0,0,0,0,0,NA
7,184,C1G0002,Matching To Sample,13,0,1.23,ARES_JSC1,1,1.27,13,2020-09-15,06:40,137,10,9,1,0,0,11,1332,3320,1531,419,0,742,1155,3320,3320,35,5,4,1,0,0,7,1187,3320,1614,196,0,968,1200,3320,3320,29,5,5,0,0,0,4,1448,NA,1448,533,NA,533,1155,NA,NA,41,0,0,0,0,0,NA
8,190,C1G0002,Matching To Sample,14,0,1.23,ARES_JSC1,1,1.27,14,2020-09-15,13:26,137,10,10,0,0,0,12,1438,NA,1438,362,NA,362,1335,NA,NA,41,5,5,0,0,0,8,1452,NA,1452,500,NA,500,1165,NA,NA,41,5,5,0,0,0,4,1424,NA,1424,211,NA,211,1300,NA,NA,42,0,0,0,0,0,NA
9,202,C1G0002,Matching To Sample,15,0,1.23,ARES_JSC1,1,1.27,15,2020-09-15,18:59,135,10,10,0,0,0,11,1261,NA,1261,372,NA,372,1150,NA,NA,47,5,5,0,0,0,7,1196,NA,1196,488,NA,488,1015,NA,NA,50,5,5,0,0,0,4,1326,NA,1326,249,NA,249,1280,NA,NA,45,0,0,0,0,0,NA
10,211,C1G0002,Matching To Sample,16,0,1.23,ARES_JSC1,1,1.27,16,2020-09-16,06:44,139,10,9,1,0,0,11,1557,1640,1566,594,0,561,1385,1640,1640,34,5,4,1,0,0,7,1912,1640,1858,611,0,543,1895,1640,1640,25,5,5,0,0,0,4,1274,NA,1274,447,NA,447,1015,NA,NA,47,0,0,0,0,0,NA
11,220,C1G0002,Matching To Sample,17,0,1.23,ARES_JSC1,1,1.27,17,2020-09-16,12:33,136,10,9,1,0,0,11,1260,3190,1453,468,0,753,1070,3190,3190,37,5,5,0,0,0,7,1038,NA,1038,182,NA,182,1005,NA,NA,57,5,4,1,0,0,4,1537,3190,1868,597,0,902,1335,3190,3190,25,0,0,0,0,0,NA
12,229,C1G0002,Matching To Sample,18,0,1.23,ARES_JSC1,1,1.27,18,2020-09-16,18:30,134,10,10,0,0,0,11,1101,NA,1101,316,NA,316,1055,NA,NA,54,5,5,0,0,0,7,1030,NA,1030,198,NA,198,990,NA,NA,58,5,5,0,0,0,4,1172,NA,1172,416,NA,416,975,NA,NA,51,0,0,0,0,0,NA
13,238,C1G0002,Matching To Sample,19,0,1.23,ARES_JSC1,1,1.27,19,2020-09-17,06:31,142,10,10,0,0,0,11,1783,NA,1783,508,NA,508,1705,NA,NA,33,5,5,0,0,0,7,1442,NA,1442,343,NA,343,1295,NA,NA,41,5,5,0,0,0,4,2124,NA,2124,415,NA,415,2015,NA,NA,28,0,0,0,0,0,NA
14,247,C1G0002,Matching To Sample,20,0,1.23,ARES_JSC1,1,1.27,20,2020-09-17,12:43,135,10,10,0,0,0,11,1242,NA,1242,293,NA,293,1340,NA,NA,48,5,5,0,0,0,7,1364,NA,1364,249,NA,249,1390,NA,NA,43,5,5,0,0,0,4,1120,NA,1120,306,NA,306,1035,NA,NA,53,0,0,0,0,0,NA
15,256,C1G0002,Matching To Sample,21,0,1.23,ARES_JSC1,1,1.27,21,2020-09-17,19:13,136,10,9,1,0,0,11,1233,2120,1322,326,0,416,1130,2120,2120,40,5,4,1,0,0,7,1290,2120,1456,267,0,437,1235,2120,2120,32,5,5,0,0,0,4,1188,NA,1188,392,NA,392,1010,NA,NA,50,0,0,0,0,0,NA
16,265,C1G0002,Matching To Sample,22,0,1.23,ARES_JSC1,1,1.27,22,2020-09-18,06:46,146,10,10,0,0,0,11,1502,NA,1502,553,NA,553,1305,NA,NA,39,5,5,0,0,0,7,1490,NA,1490,639,NA,639,1120,NA,NA,40,5,5,0,0,0,4,1514,NA,1514,529,NA,529,1305,NA,NA,39,0,0,0,0,0,NA
17,271,C1G0002,Matching To Sample,23,0,1.23,ARES_JSC1,1,1.27,23,2020-09-18,12:49,135,10,10,0,0,0,11,1466,NA,1466,560,NA,560,1285,NA,NA,40,5,5,0,0,0,7,1416,NA,1416,641,NA,641,1045,NA,NA,42,5,5,0,0,0,4,1516,NA,1516,538,NA,538,1285,NA,NA,39,0,0,0,0,0,NA
18,280,C1G0002,Matching To Sample,24,0,1.23,ARES_JSC1,1,1.27,24,2020-09-18,18:17,137,10,9,1,0,0,11,1456,2160,1527,424,0,457,1305,2160,2160,35,5,5,0,0,0,7,1626,NA,1626,477,NA,477,1305,NA,NA,36,5,4,1,0,0,4,1245,2160,1428,259,0,466,1250,2160,2160,33,0,0,0,0,0,NA
19,289,C1G0002,Matching To Sample,25,0,1.23,ARES_JSC1,1,1.27,25,2020-09-19,07:18,135,10,10,0,0,0,11,1133,NA,1133,271,NA,271,1055,NA,NA,52,5,5,0,0,0,7,1104,NA,1104,175,NA,175,1055,NA,NA,54,5,5,0,0,0,4,1162,NA,1162,364,NA,364,975,NA,NA,51,0,0,0,0,0,NA
20,304,C1G0002,Matching To Sample,26,0,1.23,ARES_JSC1,1,1.27,26,2020-09-19,12:34,133,10,10,0,0,0,11,1138,NA,1138,243,NA,243,1130,NA,NA,52,5,5,0,0,0,7,996,NA,996,214,NA,214,900,NA,NA,60,5,5,0,0,0,4,1280,NA,1280,191,NA,191,1230,NA,NA,46,0,0,0,0,0,NA
21,310,C1G0002,Matching To Sample,27,0,1.23,ARES_JSC1,1,1.27,27,2020-09-19,18:23,136,10,10,0,0,0,11,1431,NA,1431,470,NA,470,1340,NA,NA,41,5,5,0,0,0,7,1546,NA,1546,579,NA,579,1465,NA,NA,38,5,5,0,0,0,4,1316,NA,1316,359,NA,359,1145,NA,NA,45,0,0,0,0,0,NA
22,319,C1G0002,Matching To Sample,28,0,1.23,ARES_JSC1,1,1.27,28,2020-09-21,18:17,138,10,9,1,0,0,11,1466,960,1416,507,0,504,1290,960,960,38,5,5,0,0,0,7,1582,NA,1582,489,NA,489,1485,NA,NA,37,5,4,1,0,0,4,1322,960,1250,564,0,515,1135,960,960,38,0,0,0,0,0,NA
23,325,C1G0002,Matching To Sample,29,0,1.23,ARES_JSC1,1,1.27,29,2020-09-22,06:18,135,10,10,0,0,0,11,1234,NA,1234,390,NA,390,1145,NA,NA,48,5,5,0,0,0,7,940,NA,940,183,NA,183,860,NA,NA,63,5,5,0,0,0,4,1528,NA,1528,306,NA,306,1510,NA,NA,39,0,0,0,0,0,NA
24,337,C1G0002,Matching To Sample,30,0,1.23,ARES_JSC1,1,1.27,30,2020-09-22,12:33,138,10,9,1,0,0,11,1478,1710,1502,483,0,461,1230,1710,1710,35,5,4,1,0,0,7,1357,1710,1428,381,0,365,1230,1710,1710,33,5,5,0,0,0,4,1576,NA,1576,576,NA,576,1260,NA,NA,38,0,0,0,0,0,NA
25,346,C1G0002,Matching To Sample,31,0,1.23,ARES_JSC1,1,1.27,31,2020-09-22,18:58,137,10,10,0,0,0,11,1359,NA,1359,361,NA,361,1270,NA,NA,44,5,5,0,0,0,7,1128,NA,1128,130,NA,130,1040,NA,NA,53,5,5,0,0,0,4,1590,NA,1590,378,NA,378,1500,NA,NA,37,0,0,0,0,0,NA
26,348,C1G0002,Matching To Sample,31,0,1.23,ARES_JSC1,1,1.27,31,2020-09-22,19:04,137,10,10,0,0,0,11,1537,NA,1537,506,NA,506,1335,NA,NA,39,5,5,0,0,0,7,1596,NA,1596,616,NA,616,1240,NA,NA,37,5,5,0,0,0,4,1478,NA,1478,433,NA,433,1245,NA,NA,40,0,0,0,0,0,NA
27,360,C1G0002,Matching To Sample,32,0,1.23,ARES_JSC1,1,1.27,32,2020-09-23,08:04,136,10,9,1,0,0,11,1468,2240,1546,416,0,462,1435,2240,2240,34,5,4,1,0,0,7,1590,2240,1720,225,0,350,1655,2240,2240,27,5,5,0,0,0,4,1372,NA,1372,531,NA,531,1100,NA,NA,43,0,0,0,0,0,NA
28,366,C1G0002,Matching To Sample,33,0,1.23,ARES_JSC1,1,1.27,33,2020-09-23,12:20,137,10,9,1,0,0,11,1230,3070,1414,379,0,683,1150,3070,3070,38,5,4,1,0,0,7,1440,3070,1766,447,0,825,1460,3070,3070,27,5,5,0,0,0,4,1062,NA,1062,242,NA,242,960,NA,NA,56,0,0,0,0,0,NA
29,375,C1G0002,Matching To Sample,34,0,1.23,ARES_JSC1,1,1.27,34,2020-09-23,19:13,135,10,8,2,0,0,11,1172,1690,1276,304,664,410,1140,1690,1690,37,5,4,1,0,0,7,1175,2160,1372,147,0,458,1215,2160,2160,34,5,4,1,0,0,4,1170,1220,1180,441,0,382,1015,1220,1220,40,0,0,0,0,0,NA
