ID,Period Covered,Statistic,Left Ventricular Outflow Tract Diameter 1,RVD,IVS,LVDD,LVPWD,IVSS,LVDS,LVPWS,PAT,PET,ME,MA,MDT,AWD,IVCT,ET,IVRT,Aortic Valve Close Open 1,PVS,PVD,AWR,Tricuspid E Velocity 1,Tricuspid A Velocity 1,Tricuspid Regurgitation 1,TS',TE',TA',RHR,BSS',BSE',BSA',MS',ME',MA',LHR,CMM,LVOT,Endo area,Epi area,A4 length,LAP,PCWP,RAP,L MPI,Vcf,FS,Am,t,LVM,LV vol,EF pre,SV pre,CO pre,ME/A,ME/E',ME'/A',MPAP,TE/A,TE/E',TE'/A',SBP,DBP,WS
1,BR-5 to BR-4,AVERAGE,2.14,2.16,0.95,4.92,0.86,1.45,2.97,1.51,146.61,338.02,72.81,49.17,170.14,111.84,46.10,295.02,72.53,410.18,53.00,50.99,100.41,54.61,33.68,211.24,12.91,13.02,10.96,52.62,8.04,11.72,7.97,11.62,15.34,7.94,60.19,49.29,17.62,17.89,31.73,8.08,7.95,11.42,10.36,0.40,1.35,39.72,13.84,0.79,120.83,121.02,69.77,80.38,4.77,1.52,4.88,2.03,13.03,1.66,4.47,1.23,66.50,113.38,81.92
2,BR-5 to BR-4,STANDARD DEVIATION,0.24,0.34,0.14,0.46,0.16,0.25,0.39,0.19,20.96,36.74,18.61,9.58,31.23,19.03,9.91,23.03,13.05,33.65,12.06,8.85,10.94,11.16,6.81,28.46,1.89,3.62,2.66,21.20,0.75,2.43,1.40,2.48,3.45,1.57,19.68,9.57,3.64,3.08,5.75,0.53,1.66,2.30,2.42,0.08,0.18,5.35,4.45,0.23,41.66,25.49,6.49,18.08,1.78,0.44,1.34,0.76,9.43,0.38,1.38,0.39,7.82,20.65,26.16
3,BR-5 to BR-4,Pre vs BR49 T Test,NA,0.450,0.763,0.007,0.454,0.833,0.047,0.582,0.021,0.001,0.012,0.656,0.038,0.120,0.575,0.010,0.002,0.949,0.546,0.282,0.081,0.164,0.209,0.800,0.373,0.226,0.594,0.179,0.377,0.004,0.149,0.422,0.047,0.350,0.492,0.041,0.161,0.101,0.043,0.844,0.710,0.301,0.634,0.001,0.058,0.457,0.206,0.582,0.398,0.134,0.478,0.067,0.175,0.018,0.710,0.092,0.021,0.035,0.634,0.151,0.057,0.320,NA
4,BR-5 to BR-4,Pre vs BR90 T Test,NA,0.762,0.290,0.007,0.117,0.962,0.033,0.748,0.965,0.004,0.000,0.640,0.108,0.385,0.204,0.002,0.036,0.594,0.702,0.232,0.597,0.195,0.001,0.915,0.061,0.011,0.698,0.115,0.617,0.008,0.133,0.205,0.013,0.692,0.809,0.403,0.040,0.001,0.118,0.048,0.530,0.162,0.099,0.002,0.037,0.804,0.384,0.252,0.485,0.001,0.688,0.037,0.563,0.015,0.530,0.083,0.965,0.001,0.099,0.015,0.294,0.095,0.013
5,BR6 to BR9,AVERAGE,NA,2.10,0.91,4.84,0.86,1.42,2.85,1.54,146.16,325.85,63.13,48.62,208.62,114.02,53.36,286.06,87.75,427.69,47.47,48.29,102.87,51.30,35.68,225.33,12.79,11.92,11.60,47.20,8.59,10.92,8.52,11.68,15.07,8.21,58.16,43.80,11.96,17.40,30.85,8.06,7.28,11.13,10.52,0.50,1.44,41.00,13.45,0.78,116.96,118.43,71.21,78.93,4.60,1.39,4.34,1.90,17.61,1.46,4.55,1.06,64.54,118.23,74.59
6,BR6 to BR9,STANDARD DEVIATION,NA,0.25,0.14,0.45,0.09,0.23,0.43,0.24,17.45,28.97,17.23,12.75,40.96,17.73,9.17,21.55,16.59,29.61,8.42,7.75,12.75,8.30,6.99,31.27,1.99,2.70,2.36,21.02,1.64,2.56,1.78,2.14,4.54,1.56,18.70,9.30,8.90,3.16,5.44,0.57,1.33,1.90,2.73,0.10,0.26,6.47,5.29,0.29,47.53,26.63,6.78,19.35,1.84,0.65,1.07,0.61,18.59,0.18,1.55,0.26,8.10,6.07,14.46
7,BR6 to BR9,STANDARD ERROR,NA,0.04,0.03,0.13,0.02,0.04,0.08,0.05,3.96,7.25,3.69,2.28,8.49,2.30,3.15,3.95,3.09,6.08,0.99,1.76,4.39,1.66,1.22,2.16,0.60,0.35,0.48,1.84,0.30,0.48,0.30,0.45,1.11,0.30,1.54,1.29,2.01,0.61,1.09,0.10,0.41,0.40,0.52,0.02,0.08,2.01,0.98,0.05,8.83,4.95,1.26,3.59,0.34,0.12,0.20,0.11,3.45,0.03,0.29,0.05,1.50,1.13,2.69
8,BR20 to BR22,AVERAGE,NA,2.22,1.02,4.67,0.93,1.47,2.85,1.53,135.57,308.80,63.83,49.10,193.23,118.55,48.84,280.71,85.08,417.42,49.17,48.93,108.72,51.37,34.34,204.45,12.35,12.45,11.05,50.44,8.40,10.19,8.76,11.09,13.63,8.30,61.91,45.64,13.92,17.29,31.25,8.20,7.88,10.80,9.82,0.48,1.38,39.08,13.96,0.81,123.48,118.74,69.35,65.72,3.94,1.39,4.83,1.75,17.99,1.57,4.16,1.14,67.08,122.38,78.74
9,BR20 to BR22,STANDARD DEVIATION,NA,0.36,0.22,0.49,0.19,0.24,0.41,0.22,18.76,33.16,18.34,14.29,34.86,17.68,13.69,21.55,11.56,32.65,8.69,10.49,12.30,10.24,7.97,18.87,2.07,3.56,2.93,19.13,0.92,2.62,2.00,2.54,3.82,2.08,20.95,6.89,6.76,2.87,4.62,0.64,1.46,2.05,3.70,0.09,0.15,3.76,4.34,0.23,43.89,25.27,4.68,23.42,2.01,0.51,1.18,0.66,8.44,0.52,2.10,0.38,7.41,12.71,19.35
10,BR20 to BR22,STANDARD ERROR,NA,0.08,0.03,0.11,0.03,0.04,0.10,0.04,3.09,4.42,3.72,1.59,7.67,2.81,3.80,4.58,2.67,4.94,1.54,2.98,3.38,1.89,1.02,20.16,0.50,0.35,0.43,1.55,0.21,0.37,0.36,0.44,0.96,0.30,1.68,1.05,1.61,0.46,0.68,0.14,0.44,0.41,0.54,0.02,0.06,0.95,0.81,0.04,8.15,4.69,0.87,4.35,0.37,0.10,0.22,0.12,1.57,0.10,0.39,0.07,1.38,2.36,3.59
